lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000045,1688,0.294,28.8343333333333,0.309,0.624407582938389,0.250592417061611,0.149289099526066
E01000046,1923,0.2755,23.7863333333333,0.343,0.639105564222569,0.2532501300052,0.133645345813833
E01000049,1707,0.256,42.9843333333333,0.283,0.612770943175161,0.314001171646163,0.0579964850615114
E01000050,1861,0.267,32.1433333333333,0.306,0.648576034390113,0.249865663621709,0.133261687264911
E01000051,1104,0.3275,22.0626666666667,0.632,0.654891304347826,0.307971014492754,0.0253623188405797
E01000052,2444,0.29,38.7513333333333,0.35,0.635024549918167,0.275368248772504,0.110474631751228
E01000053,1659,0.2955,28.494,0.722,0.624472573839662,0.250150693188668,0.172393007836046
E01000054,1830,0.2665,24.6343333333333,0.428,0.607103825136612,0.274863387978142,0.12896174863388
E01000055,1595,0.282,25.43,0.225,0.630094043887147,0.255172413793103,0.133542319749216
E01000056,1658,0.353,25.729,0.91,0.627864897466827,0.253920386007238,0.159831121833534
E01000057,1610,0.255,28.894,0.096,0.605590062111801,0.266459627329193,0.140372670807453
E01000058,2164,0.2735,26.474,0.302,0.652495378927911,0.246765249537893,0.117837338262477
E01000059,1702,0.274,24.3086666666667,0.159,0.603995299647474,0.253231492361927,0.180376028202115
E01000060,2180,0.2965,27.115,0.477,0.611467889908257,0.263302752293578,0.137155963302752
E01000061,1960,0.49,30.872,1.404,0.635714285714286,0.281632653061224,0.0887755102040816
E01000062,2208,0.253,24.4876666666667,0.18,0.632699275362319,0.240036231884058,0.168025362318841
E01000063,1739,0.2365,26.3523333333333,0.197,0.638297872340426,0.238642898217366,0.147786083956297
E01000064,2291,0.2815,26.167,0.554,0.630292448712353,0.225665648188564,0.177215189873418
E01000065,1967,0.342,28.002,0.791,0.629384850025419,0.219115404168785,0.179461108286731
E01000066,2582,0.189,26.3043333333333,-0.155,0.636328427575523,0.235863671572424,0.140201394268009
E01000067,2237,0.2215,29.5376666666667,-0.299,0.628073312472061,0.238712561466249,0.155118462226196
E01000068,1760,0.198,27.761,-0.132,0.7,0.176704545454545,0.166477272727273
E01000069,2169,0.128,23.7836666666667,-0.536,0.658828953434763,0.22268326417704,0.146611341632089
E01000070,2066,0.175,28.9886666666667,-0.443,0.628751210067764,0.234269119070668,0.16892545982575
E01000071,2618,0.188,26.523,-0.131,0.645912910618793,0.231856378915202,0.147058823529412
E01000072,2139,0.3275,31.0776666666667,0.58,0.632071061243572,0.278167367928939,0.126227208976157
E01000073,1863,0.301,26.3166666666667,0.392,0.609769189479334,0.261943102522813,0.132045088566828
E01000074,1749,0.272,27.7733333333333,0.509,0.630074328187536,0.258433390508862,0.135506003430532
E01000075,2056,0.2275,27.4046666666667,0.083,0.622568093385214,0.254863813229572,0.155155642023346
E01000076,2168,0.273,30.5906666666667,0.216,0.643911439114391,0.252306273062731,0.145756457564576
E01000077,1757,0.298,30.5933333333333,0.477,0.642003414911781,0.258394991462721,0.1371656232214
E01000078,1938,0.291,31.0673333333333,0.373,0.615583075335397,0.296181630546956,0.122291021671827
E01000079,1767,0.2705,23.566,0.584,0.621392190152801,0.256366723259762,0.155631013016412
E01000080,1756,0.2535,25.005,0.407,0.667425968109339,0.249430523917995,0.112186788154897
E01000081,1981,0.2395,24.7323333333333,0.262,0.658758202927814,0.250378596668349,0.126198889449773
E01000082,1846,0.2785,26.748,0.245,0.657096424702059,0.23510292524377,0.131094257854821
E01000083,1977,0.306,32.1493333333333,0.367,0.614061709661103,0.276681841173495,0.148204350025291
E01000084,1418,0.2755,30.265,0.426,0.641043723554302,0.245416078984485,0.138222849083216
E01000085,1607,0.315,33.082,0.385,0.632856253889235,0.243932794026136,0.150591163658992
E01000086,1444,0.306,27.2373333333333,0.786,0.627423822714681,0.245152354570637,0.164127423822715
E01000087,1650,0.311,31.226,0.229,0.641818181818182,0.253333333333333,0.126060606060606
E01000088,2023,0.24,26.2573333333333,0.494,0.601581809194266,0.248640632723678,0.172021749876421
E01000089,1819,0.303,25.7023333333333,0.132,0.59868059373282,0.300714678394722,0.122045079714129
E01000090,1675,0.3155,21.631,0.114,0.605970149253731,0.306268656716418,0.111641791044776
E01000091,2102,0.3725,26.7486666666667,0.618,0.608943862987631,0.298287345385347,0.105613701236917
E01000093,1801,0.3485,33.1806666666667,0.959,0.658523042754026,0.260410882842865,0.106052193225986
E01000094,2609,0.2575,18.824,0.153,0.658106554235339,0.293599080107321,0.0459946339593714
E01000095,2376,0.3535,22.4883333333333,0.146,0.60479797979798,0.330387205387205,0.07996632996633
E01000096,1624,0.3015,27.291,0.517,0.586822660098522,0.320197044334975,0.0782019704433498
E01000097,1922,0.291,30.1776666666667,0.417,0.629552549427679,0.23309053069719,0.168574401664932
E01000098,1930,0.315,32.919,0.475,0.617616580310881,0.278238341968912,0.133160621761658
E01000099,2744,0.2385,20.5933333333333,0.422,0.652332361516035,0.266034985422741,0.0951166180758018
E01000100,1928,0.252,25.0056666666667,0.355,0.636410788381743,0.258817427385892,0.130186721991701
E01000101,1691,0.305,28.9353333333333,0.652,0.633944411590775,0.237137788290952,0.149615612063868
E01000102,1810,0.3355,26.5533333333333,0.474,0.596685082872928,0.268508287292818,0.158011049723757
E01000103,1759,0.269,19.8416666666667,0.371,0.645821489482661,0.255827174530984,0.130756111426947
E01000104,1910,0.3255,25.7683333333333,0.33,0.63455497382199,0.267015706806283,0.126701570680628
E01000105,2257,0.35,25.7066666666667,0.981,0.651307044749668,0.239698715108551,0.142667257421356
E01000106,2267,0.4095,27.382,0.633,0.611821790913101,0.279223643581826,0.126157917953242
E01000107,1820,0.23,23.0526666666667,0.027,0.593406593406593,0.24010989010989,0.200549450549451
E01000108,1930,0.2545,28.517,-0.312,0.627979274611399,0.244559585492228,0.162694300518135
E01000110,1659,0.1705,23.805,-0.273,0.641350210970464,0.22664255575648,0.166968053044002
E01000111,2176,0.2455,28.906,0.13,0.619944852941177,0.244025735294118,0.168658088235294
E01000112,2063,0.2135,28.5793333333333,-0.069,0.641299079011149,0.252060106640814,0.155598642753272
E01000113,2021,0.234,34.3733333333333,-0.376,0.645225136071252,0.253339930727363,0.138050470064325
E01000114,2385,0.257,27.596,-0.084,0.60167714884696,0.29559748427673,0.112788259958071
E01000115,1376,0.0595,13.88,-1.597,0.596656976744186,0.155523255813953,0.324854651162791
