MSOA21CD,pop,working_pop,elderly_pop,child_pop,working_percent,elderly_percent,child_percent,econ_score,infrastructure_score,health_score
E02000001,11457,9498.999999999998,1784.9999999999998,750.9999999999993,0.8291001134677488,0.1557999476302697,0.06554944575368764,0.05841666666666667,22.496222222222233,-0.5576666666666666
E02000002,8386,4936.999999999998,1332.0000000000002,2267.0,0.5887192940615309,0.15883615549725735,0.2703315048891009,0.27325,24.86791666666665,0.4297499999999999
E02000003,11812,7484.000000000004,1944.999999999999,2833.0000000000005,0.6335929563156115,0.1646630545208262,0.23984083982390794,0.21250000000000002,28.299944444444435,-0.14033333333333334
E02000004,6873,4273.0,1493.0,1428.0000000000007,0.6217081332751346,0.21722682962316311,0.20776953295504155,0.199,19.719916666666673,-0.0040000000000000105
E02000005,11032,6901.000000000002,1300.9999999999998,3014.000000000001,0.6255438723712837,0.11792965917331398,0.2732052211747644,0.24675,24.307666666666663,0.1625
E02000007,10161,6328.000000000003,1471.000000000001,2603.999999999999,0.6227733490798153,0.14476921562838313,0.25627398878063173,0.32999999999999996,27.171066666666682,0.6155999999999999
E02000008,13275,8415.0,1857.9999999999998,3405.999999999999,0.6338983050847458,0.13996233521657248,0.25657250470809784,0.29228571428571426,27.751047619047597,0.417
E02000009,12848,8154.999999999998,1349.999999999998,3535.0000000000005,0.6347291407222913,0.10507471980074704,0.275140099626401,0.28385714285714286,28.355142857142855,0.2494285714285714
E02000010,9451,6058.0,1279.0000000000007,2368.9999999999986,0.640990371389271,0.13532959475187817,0.2506613056819383,0.2808,25.20606666666668,0.4652
E02000011,7048,4421.999999999999,1233.0000000000014,1611.9999999999995,0.6274120317820657,0.1749432463110104,0.2287173666288308,0.2405,26.78333333333335,0.1355
E02000012,11672,7467.000000000002,1761.000000000001,2716.9999999999964,0.6397361206305691,0.15087388622344078,0.23277930089102095,0.1803,27.02746666666668,-0.3128
E02000013,9446,5888.999999999998,1344.0000000000005,2440.000000000002,0.6234384924835907,0.14228244759686645,0.2583103959347874,0.2657,28.19586666666668,0.2592
E02000014,9820,6209.000000000001,1484.0000000000007,2416.999999999999,0.6322810590631366,0.1511201629327903,0.24613034623217914,0.28250000000000003,28.249777777777766,0.421
E02000015,8193,5205.000000000002,1079.9999999999993,2134.0000000000005,0.6352984254851705,0.13181984621017934,0.260466251678262,0.3385,24.674666666666674,0.57875
E02000016,10673,7149.0,598.0,2978.0000000000005,0.6698210437552703,0.05602923264311815,0.27902183078796966,0.327,31.81206666666668,0.06300000000000001
E02000017,9148,6317.000000000002,1165.0000000000014,1962.0,0.6905334499344121,0.12735024048972468,0.21447310887625712,0.2536,36.236399999999996,0.014399999999999991
E02000018,9446,5965.000000000002,1222.0000000000014,2479.9999999999995,0.6314842261274616,0.12936692780012718,0.2625449925894558,0.3029,28.4274,0.3266
E02000019,9623,6005.999999999998,1158.9999999999995,2649.999999999999,0.6241296892860853,0.1204406110360594,0.2753818975371505,0.30569999999999997,24.95113333333332,0.4022
E02000020,14197,9207.000000000002,1407.000000000002,3769.0000000000014,0.6485172923857154,0.09910544481228444,0.2654786222441362,0.26368749999999996,28.41499999999999,0.16212500000000002
