lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
W01000003,2431,30.55,21.24,27.4,0.606334841628959,0.168654874537227,0.313862607980255
W01000004,1283,11.85,19.72,4.5,0.531566640685892,0.133281371784879,0.45128604832424
W01000005,1599,20.75,28.48,15.1,0.519074421513446,0.114446529080675,0.443402126328956
W01000006,1602,9.4,24.7,12.5,0.586142322097378,0.15230961298377,0.35705368289638
W01000007,1744,10.9,26.12,2.2,0.543004587155963,0.150802752293578,0.398509174311927
W01000008,1434,3.45,4.44,3.8,0.541143654114365,0.157601115760112,0.366806136680614
W01000009,1870,20.2,31.98,16.7,0.577005347593583,0.182352941176471,0.308021390374332
W01000010,1770,8.45,19.42,6.4,0.503389830508475,0.12316384180791,0.478531073446328
W01000011,1025,9.1,14.48,3.4,0.602926829268293,0.0604878048780488,0.43609756097561
W01000012,1710,17.2,7.06,12.2,0.528654970760234,0.18187134502924,0.36374269005848
W01000013,2123,2.25,13.76,1.4,0.549222797927461,0.159208666980688,0.381535562882713
W01000014,2264,15.2,13.56,11.8,0.6113074204947,0.201855123674912,0.256625441696113
W01000015,1497,6.4,5.44,5.0,0.512358049432198,0.148964595858383,0.394121576486306
W01000016,1159,60.15,44.26,54.9,0.657463330457291,0.197584124245039,0.186367558239862
W01000017,1757,32.3,26.24,23.8,0.593625498007968,0.220261809903244,0.251565167899829
W01000018,1184,20.3,16.88,15.0,0.541385135135135,0.144425675675676,0.418918918918919
W01000019,1347,6.4,24.4,7.6,0.495174461766889,0.0801781737193764,0.541945063103192
W01000021,2244,12.25,25.94,10.8,0.563725490196078,0.148395721925134,0.407308377896613
W01000022,1569,14.9,34.7,8.9,0.576163161249203,0.15742511153601,0.353728489483748
W01000023,1620,15.8,20.26,15.6,0.583333333333333,0.206172839506173,0.276543209876543
W01000024,1396,14.9,22.32,9.6,0.671203438395416,0.239255014326648,0.111747851002865
W01000025,2178,10.1,21.24,8.5,0.601928374655647,0.195133149678604,0.294765840220386
W01000026,1211,12.5,29.34,12.0,0.529314616019818,0.12056151940545,0.437654830718415
W01000027,1852,11.05,31.22,11.8,0.565334773218143,0.177645788336933,0.323974082073434
W01000028,1975,17.7,31.36,9.6,0.602025316455696,0.187848101265823,0.313417721518987
W01000029,1655,40.5,25.92,39.0,0.6,0.216918429003021,0.221752265861027
W01000030,2316,41.55,25.06,41.1,0.582469775474957,0.214162348877375,0.262521588946459
W01000031,1616,18.6,31.58,8.1,0.574876237623762,0.162747524752475,0.376856435643564
W01000033,1558,53.15,25.4,41.5,0.581514762516046,0.219512195121951,0.265725288831836
W01000034,1561,14.0,12.14,8.4,0.566944266495836,0.218449711723254,0.263292761050609
W01000035,1801,11.25,24.4,8.9,0.55635757912271,0.151027207107163,0.392559689061632
W01000036,1126,53.4,36.98,31.8,0.641207815275311,0.201598579040853,0.208703374777975
W01000037,1213,18.15,17.82,13.9,0.584501236603463,0.191261335531739,0.258037922506183
W01000038,2225,15.95,35.3,14.5,0.576179775280899,0.151460674157303,0.366292134831461
W01000040,1004,4.45,19.42,5.7,0.548804780876494,0.099601593625498,0.474103585657371
W01000041,1616,41.75,29.76,28.9,0.571163366336634,0.274133663366337,0.181311881188119
W01000042,2003,12.05,8.64,12.0,0.614078881677484,0.179231153270095,0.287069395906141
W01000044,1099,2.0,11.88,7.9,0.546860782529572,0.102820746132848,0.442220200181984
W01000047,1227,11.8,24.94,5.1,0.556642216788916,0.175224123879381,0.356153219233904
W01000050,1483,10.35,26.68,4.8,0.605529332434255,0.157113958192852,0.317599460552933
W01000051,1954,13.85,15.46,9.8,0.59467758444217,0.16632548618219,0.316786079836233
W01000052,1076,5.15,13.34,6.8,0.565985130111524,0.205390334572491,0.295539033457249
W01000053,1191,4.25,28.94,2.5,0.642317380352645,0.148614609571788,0.26784214945424
