pfa_code,pfa_name,msoa_code,msoa_name,month,bucket,capacity_version,demand_q25,demand,demand_q75,weighted_demand_q25,weighted_demand,weighted_demand_q75,baseline_alloc,variable_alloc,total_alloc,share_of_force_capacity,total_capacity,prev_month_total_alloc,alloc_change_abs,alloc_change_pct,demand_iqr,demand_iqr_ratio,prev_month_demand,demand_change_abs,demand_change_pct,uncertainty_flag
E23000001,Metropolitan Police,E02000020,Barking and Dagenham 019,2026-01,local_reassurance,wider_local_policing,7.1581,18.3783,30.4867,3.2211450000000004,8.270235,13.719015,3.313174855978495,1.306738944180144,4.619913800158638,0.00033570075571564005,13762.0,4.491186301255324,0.1287274989033147,2.8662248739789375,23.328599999999998,1.2693557075463997,16.2319,2.1464,13.223344155644131,True
E23000001,Metropolitan Police,E02000068,Bexley 004,2026-02,acquisitive_crime,wider_local_policing,6.1102,17.337999999999997,31.6815,2.594545,7.795745,14.648665000000001,2.519167301448841,1.3081463823269295,3.8273136837757704,0.0002781073742025702,13762.0,3.8899164638841546,-0.06260278010838416,-1.60936052713775,25.5713,1.4748702272465108,19.5357,-2.197700000000001,-11.249660877265729,True
E23000001,Metropolitan Police,E02000131,Bromley 005,2026-02,local_reassurance,wider_local_policing,5.4909,13.6462,24.9741,2.470905,6.14079,11.238345,2.4345312458665678,1.0304406087076199,3.4649718545741877,0.0002517782193412431,13762.0,3.5517612959747176,-0.08678944140052991,-2.443560649723002,19.4832,1.4277381248992393,15.713,-2.066799999999999,-13.153439826894923,True
E23000001,Metropolitan Police,E02000178,Camden 013,2026-02,acquisitive_crime,wider_local_policing,5.5224,16.3215,32.1609,2.2981400000000005,7.237210000000001,15.143805,2.8247283550583715,1.2144227498000868,4.039151104858458,0.000293500298274848,13762.0,4.130053944012735,-0.09090283915427655,-2.201008519175803,26.638499999999997,1.6321110192077932,18.8509,-2.529399999999999,-13.41792699552806,True
E23000001,Metropolitan Police,E02000183,Camden 018,2026-02,acquisitive_crime,wider_local_policing,12.8576,31.1529,54.856300000000005,5.2760750000000005,13.432725000000001,24.440435,2.385056492787224,2.254046356511469,4.639102849298693,0.0003370951060382715,13762.0,4.949794561527967,-0.31069171222927405,-6.276860753860575,41.99870000000001,1.3481473634878296,38.078199999999995,-6.9252999999999965,-18.187046656617163,True
E23000001,Metropolitan Police,E02000197,Croydon 004,2026-02,acquisitive_crime,wider_local_policing,7.1082,21.7733,41.412299999999995,2.8529750000000003,9.645325000000001,18.97649,2.8256618409655294,1.6185107395274592,4.444172580492989,0.0003229307208612839,13762.0,4.54819583012062,-0.10402324962763121,-2.2871321621363094,34.30409999999999,1.5755122099084655,24.929100000000002,-3.155800000000003,-12.659101211034503,True
E23000001,Metropolitan Police,E02000244,Ealing 007,2026-02,acquisitive_crime,wider_local_policing,5.8147,15.5185,29.2955,2.35794,7.043305,13.691535,2.424262900887836,1.1818849841003232,3.606147884988159,0.0002620366142267228,13762.0,3.6652022195537866,-0.059054334565627364,-1.611216272067434,23.480800000000002,1.5130843831555887,17.5526,-2.0341000000000022,-11.588596561193224,True
E23000001,Metropolitan Police,E02000264,Ealing 027,2026-02,acquisitive_crime,wider_local_policing,5.0558000000000005,16.7947,32.5316,2.0485700000000002,7.566385,15.237205000000001,2.644254413007936,1.2696591749784971,3.913913587986433,0.0002844000572581335,13762.0,3.969070715643269,-0.055157127656836114,-1.3896735938577698,27.475799999999996,1.6359803985781227,18.8428,-2.0481000000000016,-10.869403697964216,True
E23000001,Metropolitan Police,E02000308,Enfield 032,2026-02,acquisitive_crime,wider_local_policing,14.026,30.5406,53.9129,5.72114,12.887015000000002,23.79144,2.7245342010234745,2.162474792498071,4.887008993521546,0.0003551089226508898,13762.0,5.01681388140147,-0.12980488787992428,-2.5873969206061656,39.8869,1.3060286962273169,34.570800000000006,-4.030200000000004,-11.657815266062698,True
E23000001,Metropolitan Police,E02000314,Greenwich 002,2026-02,acquisitive_crime,wider_local_policing,7.7038,20.647,41.4148,3.08152,8.32502,18.453295,4.216867004599147,1.3969601103934688,5.613827114992616,0.00040792233069267665,13762.0,5.690346314283917,-0.07651919929130102,-1.3447195489529766,33.711,1.6327311473821864,23.150699999999997,-2.5036999999999985,-10.81479177735446,True
